"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","across -2.22044604925031e-16","also -2.22044604925031e-16","bring -2.22044604925031e-16","china -2.22044604925031e-16","chinese -2.22044604925031e-16","chongqing -2.22044604925031e-16","confirm -2.22044604925031e-16","country -2.22044604925031e-16","day -2.22044604925031e-16","dead -2.22044604925031e-16"
"2","less -0.0407364365154363","include -0.00180268466834288","region -0.0017778163554516","outbreak -0.0013681197062001","province -0.00127611307395914","january -0.00125625086793202","patient -0.00104690638007665","philippines -0.00104690638007665","say -0.000949420730911421","thailand -0.000946950802017232"
"3","confirm -0.00777249098219901","death -0.00641414161521037","wuhan -0.0048433837025369","report -0.00377044948904348","less -0.00288313420730257","january -0.00119235710921939","february -0.00108665121197205","number -0.000909398089905866","outbreak -0.000825523449196619","majority -0.000784971588514205"
"4","death -0.0105877980608851","wuhan -0.00562774424966872","confirm -0.00401546041224832","report -0.00345283904088456","february -0.00205005272777381","country -0.00136958087283312","outbreak -0.000737661556098113","novel -0.000647026586079513","thailand -0.000634372912795333","global -0.000396268337670369"
"5","wuhan -0.00244767365704002","outbreak -0.00195474562335551","report -0.00194458506259287","korea -0.00194294182818033","italy -0.00169753600125921","south -0.00155566060973245","iran -0.00140522235591067","outside -0.00115143234917237","people -0.000843132761650711","country -0.000737939964245093"
"6","less -0.0237769513236009","country -0.0012663404053288","hubei -0.00112710496021529","january -0.000957065687239189","wuhan -0.000844831620417708","february -0.000714259965155395","italy -0.000614968524104809","iran -0.000487137464327936","die -0.000457654894515991","new -0.000437355305282439"
"7","less -0.0124907668274777","new -0.00692361846569989","country -0.00242678463300172","wuhan -0.00173875586784644","mainland -0.00168160040967624","accord -0.00132917636815555","pandemic -0.00118951012113544","day -0.00113506542738651","today -0.00102290179377618","xi -0.00101424689105112"
"8","new -0.0126416942802555","day -0.0043826094402557","less -0.00252655037445826","hubei -0.00181604661168078","mainland -0.00180107484475756","import -0.0015372352197045","overseas -0.00129933971578922","home -0.00126941282515891","will -0.00120256387096673","pandemic -0.00119898054304368"
"9","say -0.00350258937250414","outside -0.00219171364429804","day -0.00200704943038388","mainland -0.001612884394672","wednesday -0.00123641094271654","accord -0.00107275434192877","past -0.000805451976020888","south -0.000750138666977374","korea -0.00073317758854119","coronavirus -0.000726119433978822"
"10","china -0.0034090377207332","mainland -0.00214527238546014","increase -0.00201003088932938","high -0.00163797521661935","accord -0.0013599461462398","outside -0.00102985838198777","record -0.000994265947526607","ministry -0.000740817004906469","hubei -0.000683491162723038","countrys -0.000604022055784803"
