"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","able -4.44089209850063e-16","already -4.44089209850063e-16","also -4.44089209850063e-16","always -4.44089209850063e-16","announce -4.44089209850063e-16","bad -4.44089209850063e-16","begin -4.44089209850063e-16","bring -4.44089209850063e-16","child -4.44089209850063e-16","china -4.44089209850063e-16","city -4.44089209850063e-16","come -4.44089209850063e-16","currently -4.44089209850063e-16","decade -4.44089209850063e-16","dow -4.44089209850063e-16","end -4.44089209850063e-16","europe -4.44089209850063e-16","even -4.44089209850063e-16","face -4.44089209850063e-16","factory -4.44089209850063e-16","friend -4.44089209850063e-16","future -4.44089209850063e-16","grocery -4.44089209850063e-16","guest -4.44089209850063e-16","hear -4.44089209850063e-16","home -4.44089209850063e-16","however -4.44089209850063e-16","index -4.44089209850063e-16","line -4.44089209850063e-16","live -4.44089209850063e-16"
"2","china -0.0159434190595703","company -0.00622516355372893","wuhan -0.00416308766883977","go -0.00350777292553484","macao -0.00347488880704494","mainland -0.00313394499809438","operation -0.00194864977958686","gamble -0.00194864977958686","billion -0.00172529157948953","public -0.00172346657979849","hong -0.00169663133842757","kong -0.00146222276679286","business -0.00130998068488319","accord -0.00124537462225094","add -0.00124537462225094","employee -0.00124537462225094","worker -0.00124537462225094","thursday -0.00117499362065043","government -0.00104604123988783","visitor -0.00104604123988783","plant -0.00104604123988783","three -0.000977851962437826","industry -0.000864180705464346","quarter -0.000864180705464346","cancel -0.000855187417029279","celebration -0.000825166442478875","however -0.000785152905447783","half -0.00072812914699194","find -0.000716713411846315","impact -0.000699754830832289"
"3","new -0.0176608085663957","part -0.00493703978466231","wuhan -0.00410271046132782","plant -0.00388664848068221","impact -0.00350636971931706","day -0.00348295973078905","auto -0.00339519204211358","cancel -0.00321441448432713","cnn -0.00268506066676844","economy -0.00263401950117303","novel -0.0024564891018003","public -0.00243847886913695","market -0.00211319989773551","global -0.00189605245958868","last -0.0017212891549967","see -0.00144196655846296","shanghai -0.00138379702999425","business -0.00130785375133435","store -0.00130241826599475","stock -0.00129598679169229","across -0.00127824402105658","factory -0.00122291389904761","family -0.00112684404051","industry -0.00103007311290892","try -0.00101121525341985","park -0.000981769731860482","work -0.000973593198834943","trade -0.000969498801204005","lunar -0.00092668969721621","production -0.000925121889463698"
"4","lor -0.00595850211330806","wuhan -0.00534836986168519","year -0.00505204662909164","new -0.00504060499442027","lunar -0.00458897262193703","novel -0.00370174190950856","holiday -0.00342574647400451","last -0.00319100304561271","bank -0.00160824717463792","go -0.00149770056371312","employee -0.0014100017657015","airline -0.0013069091484107","public -0.00130521389919014","stock -0.00118675274876978","cnn -0.00109578514254882","day -0.00108935005399979","period -0.00105472577588994","australia -0.00103065808592795","take -0.00102916991030144","man -0.0010229860794928","cancel -0.00101156995094986","close -0.000904441866089289","place -0.000896626055351013","one -0.000868509831909448","ask -0.000865220426693125","warn -0.000843371039667473","family -0.000781862063952143","food -0.000725654678850551","covid -0.00071352317502249","hurt -0.00071352317502249"
"5","year -0.0128049552837707","new -0.00555594789528246","lunar -0.00513953638253128","holiday -0.00338283085351498","last -0.00325738080928051","wuhan -0.00312138021890884","economic -0.00172630146687003","shanghai -0.00170451828377505","little -0.00161536772670245","survey -0.00151294401236879","case -0.00150308966101587","market -0.00138601765068813","day -0.0012153914808144","change -0.00120602687203264","measure -0.00108355643678015","south -0.000892721517843031","tell -0.000889546005787278","concern -0.000857982901889653","store -0.000839080156765371","since -0.00083480086607346","go -0.0007470231550738","period -0.00071232032089863","force -0.000677470177728456","worry -0.000669749603767089","supply -0.000641574725890881","situation -0.000619187759983042","macao -0.000588556773757132","stock -0.000580678798051459","far -0.000569008692515416","office -0.000568283368795663"
"6","china -0.0241030133121293","economy -0.00437531337147323","case -0.00380505101147854","toilet -0.00306863526946932","event -0.00297165042361913","buy -0.00266518724303455","festival -0.00215936262301686","public -0.00205200439168562","paper -0.00203314676910071","close -0.00200168792847988","chinese -0.00153143831656599","gathering -0.00146960415387309","lunar -0.00141934592008652","global -0.00134651748904968","many -0.00132293764338687","concern -0.00129227426751277","march -0.00121588095747538","plant -0.00116941362852918","staff -0.00113753489007662","australia -0.00112923459848924","holi -0.00110303963683867","now -0.00107407645953705","hong -0.000998964320741313","go -0.000994014251456177","confirm -0.000967603942541473","holiday -0.000839038415742954","panic -0.000798465072411658","supermarket -0.000789262270885938","sxsw -0.000789262270885938","test -0.000740731805426664"
"7","china -0.0105360959052546","chinese -0.00567307037842801","prime -0.003416083238858","minister -0.00223034739572503","australian -0.00209560688110733","pope -0.00207738197578289","trudeau -0.00207738197578289","ban -0.00160224422669986","gathering -0.00138871517258754","year -0.00115960734859122","employee -0.00115639079046581","plant -0.00112057238704422","morrison -0.00111518939744137","global -0.00097962761480852","family -0.000951806574009728","animal -0.000921314415046504","mass -0.000881280011971519","positive -0.000881280011971519","will -0.000846884008367965","february -0.000827796507198997","wild -0.000746023225037473","peter -0.000746023225037473","scott -0.00068755101103557","infection -0.000670337297041024","even -0.000639453794387568","use -0.000614662404517574","canadian -0.000589279871138215","hong -0.000565138567729107","world -0.000554415351690318","factory -0.00055036839964473"
"8","china -0.0171782821361012","airline -0.010937756299145","flight -0.0100299190513464","pandemic -0.00485202410584729","billion -0.00366186766782262","airport -0.0024122574913259","loan -0.00201932705931429","chinese -0.00185764881885608","cut -0.00177231377046017","case -0.00174744083105571","novel -0.00171451086266683","outbreak -0.00141669207712591","package -0.00140953133264365","cancel -0.00129075641187781","virus -0.00125976070886513","air -0.00122145560808018","international -0.00115392728971175","help -0.0010863381117413","america -0.000973869645584768","crisis -0.000925147348403765","country -0.000884807294095569","reduce -0.00081129162768423","payment -0.00078694460516604","work -0.000765781451723457","around -0.000716256662386283","feed -0.000710113161461856","australia -0.000667283549457665","gathering -0.000648271901987019","toilet -0.000637761564381778","home -0.000633505893138486"
"9","china -0.00597835467488561","outbreak -0.00253133817548878","benefit -0.00246553459409937","worker -0.00232535417014146","amazon -0.00219101850095993","mask -0.00202098532410466","million -0.00176614087592519","pay -0.00153384690310421","case -0.00125666385333256","cancel -0.0010862597069653","event -0.000969369136687215","concern -0.000967871808184695","assistance -0.000808117523639629","include -0.000747890867973111","spread -0.000714057152271019","receive -0.000700049266529446","travel -0.000687593840492884","novel -0.000665918718731118","sector -0.000609884326957633","public -0.000605260505863625","company -0.000598458515444156","bill -0.00059200754530464","support -0.000562949250258571","help -0.000510863310506648","gathering -0.000506092930624535","chinese -0.000504964268807195","unemployment -0.00049372649105528","salary -0.00049372649105528","global -0.000490022902363108","employee -0.000482876458244075"
"10","employee -0.00310017035898491","government -0.00268823341693036","mask -0.002113267829989","country -0.00189890034693641","furlough -0.00165627231291454","unemployment -0.00163569406343889","job -0.00147267758251346","bank -0.00144118494189271","worker -0.00143930542033799","china -0.00139092228451609","small -0.001249467271629","salary -0.00112957195100305","million -0.00108388505594403","may -0.00103636101569304","monday -0.000932986295472782","fund -0.000826240671537692","event -0.000682654404103644","receive -0.000656748161685372","package -0.000655072925316746","park -0.000636420410777827","cancel -0.00063481394421494","toilet -0.000613448236527203","public -0.000566912206894976","buy -0.000561436793585224","spread -0.000533177110493055","even -0.000526881383885014","provide -0.000526224161992772","pay -0.00051602489833602","disney -0.000490280315248559","concern -0.000472835809579464"
