"","date"
"1",2020-02-01
"2",2020-02-08
"3",2020-02-15
"4",2020-02-22
"5",2020-02-29
"6",2020-03-07
"7",2020-03-14
"8",2020-03-21
"9",2020-03-28
"10",2020-04-04
"11",2020-04-11
"12",2020-04-18
"13",2020-04-25
"14",2020-05-02
"15",2020-05-09
"16",2020-05-16
"17",2020-05-23
"18",2020-05-30
"19",2020-06-06
"20",2020-06-13
"21",2020-06-20
"22",2020-06-27
"23",2020-07-04
"24",2020-07-11
"25",2020-07-18
"26",2020-07-25
"27",2020-08-01
"28",2020-08-08
"29",2020-08-15
"30",2020-08-22
"31",2020-08-29
"32",2020-09-05
"33",2020-09-12
"34",2020-09-19
"35",2020-09-26
"36",2020-10-03
"37",2020-10-10
"38",2020-10-17
"39",2020-10-24
"40",2020-10-31
"41",2020-11-07
"42",2020-11-14
"43",2020-11-21
"44",2020-11-28
"45",2020-12-05
"46",2020-12-12
"47",2020-12-19
"48",2020-12-26
"49",2021-01-02
"50",2021-01-09
"51",2021-01-16
"52",2021-01-23
"53",2021-01-30
"54",2021-02-06
"55",2021-02-13
"56",2021-02-20
"57",2021-02-27
"58",2021-03-06
"59",2021-03-13
"60",2021-03-20
"61",2021-03-27
"62",2021-04-03
"63",2021-04-10
"64",2021-04-17
"65",2021-04-24
"66",2021-05-01
"67",2021-05-08
"68",2021-05-15
"69",2021-05-22
"70",2021-05-29
"71",2021-06-05
"72",2021-06-12
"73",2021-06-19
"74",2021-06-26
"75",2021-07-03
"76",2021-07-10
"77",2021-07-24
"78",2021-07-31
